time,property,state
769,10.365251,8
770,9.83268,7
771,8.534353,7
772,6.379216,6
773,3.671294,4
774,2.6208394,2
775,1.2979984,1
776,2.1897945,1
777,2.9024127,3
778,2.5455842,2
779,3.0758414,3
780,4.6938252,5
781,5.506941,6
782,6.28713,6
783,6.28713,6
784,7.729527,7
785,7.5685663,7
786,6.763786,7
787,6.489992,6
788,5.937272,6
789,5.937272,6
790,5.5887027,6
791,6.489992,6
792,6.830519,7
793,7.5170207,7
794,7.628263,7
795,7.172949,7
796,5.815978,6
797,4.5536795,5
798,4.1046314,5
799,4.32,5
800,5.04,6
801,5.7599998,6
802,6.519877,6
803,7.771331,7
804,8.209263,7
805,8.557102,7
806,8.766573,7
807,8.089993,7
808,8.557102,7
809,8.049845,7
810,7.24486,7
811,5.6920996,6
812,3.9763298,4
813,2.9024127,3
814,1.9386592,1
815,1.835647,1
816,1.8,1
817,1.4399999,1
818,2.8799999,3
819,3.671294,4
820,5.815978,6
821,8.209263,7
822,9.255571,7
823,8.654986,7
824,7.8625183,7
825,8.12197,7
826,8.350138,7
827,6.924738,7
828,6.489992,6
829,6.130579,6
830,4.68,5
831,2.9024127,3
832,3.6,4
833,3.2599385,3
834,3.319036,3
835,2.5959969,2
836,1.4399999,1
837,2.9024127,3
838,6.2145634,6
839,8.654986,7
840,9.449572,7
841,9.107359,7
842,9.107359,7
843,8.891344,7
844,8.089993,7
845,9.255571,7
846,9.885262,7
847,10.239453,8
848,10.308831,8
849,10.041354,8
850,10.24578,8
851,10.24578,8
852,10.483357,8
853,10.829959,8
854,11.043261,8
855,10.703569,8
856,9,7
857,9.255571,7
858,9.605998,7
859,8.905908,7
860,8.825508,7
861,9.114471,7
862,9.422101,7
863,9.47012,7
864,9.826088,7
865,10.661107,8
866,10.739833,8
867,10.931203,8
868,9.346143,7
869,10.239453,8
870,11.367109,8
871,11.440978,8
872,11.525623,8
873,11.620809,8
874,11.525623,8
875,11.090103,8
876,10.594036,8
877,10.495713,8
878,10.823973,8
879,10.446206,8
880,10.464798,8
881,11.212135,8
882,12.24,8
883,11.570515,8
884,12.261158,8
885,12.682018,8
886,12.682018,8
887,13.363711,8
888,12.682018,8
889,12.7279215,8
890,11.901798,8
891,11.901798,8
892,11.720751,8
893,13.441071,8
894,13.684735,8
895,13.363711,8
896,14.044615,8
897,14.764389,8
898,15.4800005,8
899,15.84,8
900,16.563911,8
901,16.199999,8
902,15.517629,8
903,15.5843,8
904,13.556282,8
905,14.113653,8
906,13.75558,8
907,15.463244,8
908,16.24394,8
909,17.414476,8
910,16.24394,8
911,16.676977,8
912,16.595179,8
913,15.4800005,8
914,16.563911,8
915,16.203999,8
916,17.057314,8
917,16.327497,8
918,19.93048,0
919,19.211996,8
920,16.808569,8
921,14.869351,8
922,13.708391,8
923,11.91812,8
924,11.119281,8
925,10.30883,8
926,11.966954,8
927,14.471821,8
928,15.815435,8
929,13.698934,8
930,11.659777,8
931,9.826088,7
932,7.5685663,7
933,6.725354,7
934,5.991594,6
935,4.8433046,5
936,4.1046314,5
937,3.2599385,3
938,3.319036,3
939,4.6800003,5
940,6.830519,7
941,8.759178,7
942,10.823973,8
943,11.928989,8
944,12.261158,8
945,12.964998,8
946,12.605142,8
947,12.24,8
948,12.964998,8
949,13.004921,8
950,12.261158,8
951,11.879999,8
952,11.183201,8
953,11.525623,8
954,11.165805,8
955,9.885262,7
956,9.107359,7
957,8.427383,7
958,7.968939,7
959,7.289444,7
960,7.172949,7
961,7.072878,7
962,6.28713,6
963,5.0142193,6
964,4.1046314,5
965,3.2599385,3
966,3.2599385,3
967,2.7416782,2
968,1.609969,1
969,0,1
970,2.5455842,2
971,6.130579,6
972,8.209263,7
973,9,7
974,9.346143,7
975,9.565437,7
976,9.346143,7
